Date,JPM,V,BAC,MA,WFC,HSBC,MSFT,GOOGL,FB,AAPL,AMZN,IBM,ORCL,ADBE,VZ,SP500
2012/12/1,0.07035051,0.01249076,0.17748479,0.00532041,0.03544387,0.03794248,0.003380841,0.01290142,-0.0492857,-0.0907429,-0.0046816,0.00778658,0.03542573,0.08870266,-0.0192656,0.00706823
2013/1/1,0.07004771,0.04176015,-0.0249785,0.05520278,0.01901703,0.07141513,0.027705055,0.06829433,0.16378658,-0.1440893,0.05831708,0.06014098,0.06572623,0.00398095,0.00785766,0.050428097
2013/2/1,0.03974493,0.00462286,-0.0079505,-0.0011188,0.00717772,-0.0249737,0.012750382,0.06022309,-0.1204003,-0.0309337,-0.0046328,-0.0110307,-0.0357645,0.03912236,0.06695707,0.011060649
2013/3/1,-0.0298446,0.07060008,0.08459484,0.0450156,0.05444698,-0.0378788,0.029136764,-0.0087494,-0.0612844,0.00285455,0.0084005,0.06209232,-0.0557827,0.1070974,0.05630782,0.035987724
2013/4/1,0.03265906,-0.0081252,0.01067324,0.02180622,0.02676394,0.02849646,0.156938023,0.0382528,0.08561376,0.00027104,-0.0475815,-0.0504454,0.01391887,0.03584563,0.09684634,0.018085768
2013/5/1,0.11385436,0.05746166,0.10966694,0.03132409,0.06766717,0,0.054380789,0.05657497,-0.1231545,0.01569638,0.06063596,0.02705644,0.03050641,-0.0481367,-0.1007234,0.020762812
2013/6/1,-0.0329731,0.02587852,-0.0585652,0.00745285,0.01775588,-0.0539555,-0.010315214,0.01050254,0.02176587,-0.1182932,0.03153785,-0.0812903,-0.0908822,0.06175719,0.03836634,-0.014999302
2013/7/1,0.05569235,-0.0314091,0.13530327,0.06285466,0.05403441,0.0934489,-0.078170264,0.00838277,0.4790997,0.14122507,0.08473477,0.02056403,0.05340277,0.03775237,-0.0170838,0.04946208
2013/8/1,-0.093307,-0.0146319,-0.0328767,-0.0074188,-0.0556321,-0.0762996,0.048995038,-0.0460152,0.12201093,0.07665796,-0.0671934,-0.0654737,-0.0151467,-0.0323604,-0.0424414,-0.031298019
2013/9/1,0.02295666,0.09563128,-0.0226629,0.11005144,0.00584221,0.03510111,-0.003592904,0.03425437,0.21651729,-0.0214893,0.11267707,0.01596527,0.04111729,0.13530053,-0.0149853,0.029749523
2013/10/1,-0.0029019,0.029147,0.01231884,0.0658759,0.03315583,0.01437529,0.064002436,0.176582,-0.0003982,0.09638175,0.1643743,-0.0322388,0.00994881,0.04389684,0.08227984,0.044595753
2013/11/1,0.11020566,0.03452488,0.13242663,0.06095387,0.03115486,0.01925867,0.076814487,0.02814922,-0.0637323,0.0638416,0.0812845,0.00262254,0.05343287,0.04721501,-0.0176203,0.028049472
2013/12/1,0.02202026,0.09446566,-0.0158028,0.09811907,0.03134943,-0.0172905,-0.018882795,0.05768266,0.16251871,0.0089018,0.01313453,0.04391148,0.08415973,0.05459673,-0.0096735,0.023562792
2014/1/1,-0.0533516,-0.0325579,0.07578677,-0.0941517,-0.0013216,-0.0660257,0.011494253,0.05376948,0.14492219,-0.1076967,-0.1005542,-0.0580584,-0.0355462,-0.0115231,-0.022792,-0.035582906
2014/2/1,0.02637281,0.04878621,-0.0131343,0.02695562,0.02381998,0.0252476,0.012420745,0.0293657,0.09413455,0.05121854,0.00950683,0.04805301,0.05989157,0.15948637,-0.0091628,0.04311703
2014/3/1,0.06846179,-0.0446136,0.04053236,-0.0388575,0.07152099,-0.0371282,0.069955649,-0.0831983,-0.1200701,0.01995287,-0.0710577,0.03953128,0.04602401,-0.0421099,-0.0002102,0.006932166
2014/4/1,-0.0779114,-0.0613824,-0.1197675,-0.0153948,-0.0020105,0.00963994,-0.014393754,-0.041112,-0.0076362,0.09939638,-0.0958468,0.02067638,-0.0007333,-0.0616063,-0.0176582,0.006200789
2014/5/1,-0.007324,0.06031292,0,0.03942888,0.02296535,0.02727983,0.013366262,0.06874443,0.05888257,0.07271778,0.02768547,-0.0616379,0.02788647,0.04619877,0.06912046,0.02103028
2014/6/1,0.03689039,-0.0191779,0.01519155,-0.0389797,0.03505321,-0.0364189,0.018563801,0.0227761,0.06303321,0.0276619,0.03912978,-0.0167607,-0.0354593,0.12116517,-0.0206165,0.019058332
2014/7/1,0.00086774,0.0014237,-0.0078074,0.00925549,-0.0315829,0.05098425,0.035011966,-0.0087571,0.07965524,0.02873128,-0.0363015,0.05737295,-0.0034542,-0.0429796,0.03045163,-0.015079831
2014/8/1,0.03086532,0.0071561,0.05508197,0.022387,0.01060898,0.0125492,0.052594995,0.00484858,0.02986921,0.07217576,0.08322956,0.00328693,0.02822481,0.03826718,-0.0119,0.037655295
