date,rf
2012/12/1,0.0007
2013/1/1,0.0007
2013/2/1,0.001
2013/3/1,0.0009
2013/4/1,0.0006
2013/5/1,0.0004
2013/6/1,0.0005
2013/7/1,0.0004
2013/8/1,0.0004
2013/9/1,0.0002
2013/10/1,0.0005
2013/11/1,0.0007
2013/12/1,0.0007
2014/1/1,0.0004
2014/2/1,0.0005
2014/3/1,0.0005
2014/4/1,0.0003
2014/5/1,0.0003
2014/6/1,0.0004
2014/7/1,0.0003
2014/8/1,0.0003
2014/9/1,0.0002
2014/10/1,0.0002
2014/11/1,0.0002
2014/12/1,0.0003
2015/1/1,0.0003
2015/2/1,0.0002
2015/3/1,0.0003
2015/4/1,0.0002
2015/5/1,0.0002
2015/6/1,0.0002
2015/7/1,0.0003
2015/8/1,0.0007
2015/9/1,0.0002
2015/10/1,0.0002
2015/11/1,0.0012
2015/12/1,0.0023
2016/1/1,0.0026
2016/2/1,0.0031
2016/3/1,0.0029
2016/4/1,0.0023
2016/5/1,0.0027
2016/6/1,0.0027
2016/7/1,0.003
2016/8/1,0.003
2016/9/1,0.0029
2016/10/1,0.0033
2016/11/1,0.0045
2016/12/1,0.0051
2017/1/1,0.0051
2017/2/1,0.0052
2017/3/1,0.0074
2017/4/1,0.008
2017/5/1,0.0089
2017/6/1,0.0098
2017/7/1,0.0107
2017/8/1,0.0101
2017/9/1,0.0103
2017/10/1,0.0107
2017/11/1,0.0123
2017/12/1,0.0132
2018/1/1,0.0141
2018/2/1,0.0157
2018/3/1,0.017
2018/4/1,0.0176
2018/5/1,0.0186
2018/6/1,0.019
2018/7/1,0.0196
2018/8/1,0.0203
2018/9/1,0.0213
2018/10/1,0.0225
2018/11/1,0.0233
2018/12/1,0.0237
2019/1/1,0.0237
2019/2/1,0.0239
2019/3/1,0.024
2019/4/1,0.0238
2019/5/1,0.0235
2019/6/1,0.0217
2019/7/1,0.021
2019/8/1,0.0195
2019/9/1,0.0189
2019/10/1,0.0165
2019/11/1,0.0154
